Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Data products (ascii),Data products (csv)
GJ693,46:34.2,-57:19:08.560,M3.5V,N/A,12.42,10.783,9.581,5.89,GJ693_harps_all-data_v1.dat,GJ693_harps_all-data_v1.csv
GJ695.1,47:57.5,-34:01:07.951,G8V,N/A,7.91,7.2,7.008,26.85,GJ695.1_harps_all-data_v1.dat,GJ695.1_harps_all-data_v1.csv
GJ696,50:34.0,-06:03:01.036,K7V,3978.2,11.584,10.154,9.468,22.19,GJ696_harps_all-data_v1.dat,GJ696_harps_all-data_v1.csv
GJ698.1,58:57.8,-51:37:31.146,K3V,5008.6,10.57,9.65,9.353,48.79,GJ698.1_harps_all-data_v1.dat,GJ698.1_harps_all-data_v1.csv
GJ699.2,00:29.0,-03:41:24.968,F2V,6728,4.982,4.616,4.468,22.87,GJ699.2_harps_all-data_v1.dat,GJ699.2_harps_all-data_v1.csv
GJ699,57:48.5,+04:41:36.111,M4V,N/A,11.24,9.511,8.195,1.83,GJ699_harps_all-data_v1.dat,GJ699_harps_all-data_v1.csv
GJ701,05:07.6,-03:01:52.753,M0V,N/A,10.878,9.36,8.517,7.73,GJ701_harps_all-data_v1.dat,GJ701_harps_all-data_v1.csv
GJ702,05:27.3,+02:30:00.355,K0-V,N/A,4.89,4.03,nan,nan,GJ702_harps_all-data_v1.dat,GJ702_harps_all-data_v1.csv
GJ707,12:21.4,-43:26:41.451,M0V,N/A,9.649,8.372,7.843,13.2,GJ707_harps_all-data_v1.dat,GJ707_harps_all-data_v1.csv
GJ70,43:20.2,+04:19:17.962,M2V,N/A,12.45,10.915,9.898,11.32,GJ70_harps_all-data_v1.dat,GJ70_harps_all-data_v1.csv
GJ710,19:50.8,-01:56:19.005,K7Vk,4116.2,11.021,9.656,9.061,19.04,GJ710_harps_all-data_v1.dat,GJ710_harps_all-data_v1.csv
GJ711,21:18.6,-02:53:55.776,K0III-IV,N/A,4.19,3.25,2.883,17.84,GJ711_harps_all-data_v1.dat,GJ711_harps_all-data_v1.csv
GJ715,29:52.4,-01:49:05.169,K4V,N/A,9.11,8.004,7.672,18.78,GJ715_harps_all-data_v1.dat,GJ715_harps_all-data_v1.csv
GJ722,38:53.4,-21:03:06.741,G6V,5883.7,6.518,5.86,5.662,13.05,GJ722_harps_all-data_v1.dat,GJ722_harps_all-data_v1.csv
GJ724.2,47:49.1,-77:52:05.702,F8V,5989.5,6.974,6.392,6.237,43.44,GJ724.2_harps_all-data_v1.dat,GJ724.2_harps_all-data_v1.csv
GJ724,40:57.3,-13:22:46.595,M1,N/A,12.115,10.63,9.769,16.97,GJ724_harps_all-data_v1.dat,GJ724_harps_all-data_v1.csv
GJ726,47:27.3,-03:38:23.400,K5V,N/A,10.08,8.766,8.259,14.26,GJ726_harps_all-data_v1.dat,GJ726_harps_all-data_v1.csv
GJ729,49:49.4,-23:50:10.453,M3.5Ve,N/A,12.235,10.495,9.126,2.98,GJ729_harps_all-data_v1.dat,GJ729_harps_all-data_v1.csv
GJ739,59:07.5,-48:16:28.064,M4V,N/A,12.615,11.142,10.086,14.15,GJ739_harps_all-data_v1.dat,GJ739_harps_all-data_v1.csv
GJ740,58:00.1,+05:54:29.238,M1.0Ve,N/A,10.673,9.217,8.456,11.11,GJ740_harps_all-data_v1.dat,GJ740_harps_all-data_v1.csv
GJ744,06:52.5,-37:48:38.372,G6V,N/A,6.88,6.16,5.965,16.93,GJ744_harps_all-data_v1.dat,GJ744_harps_all-data_v1.csv
GJ747.4,12:25.3,-55:52:07.632,M2V,N/A,12.755,11.318,10.54,23.53,GJ747.4_harps_all-data_v1.dat,GJ747.4_harps_all-data_v1.csv
GJ752,16:55.3,+05:10:08.038,M3-V,N/A,10.63,9.115,8.098,5.91,GJ752_harps_all-data_v1.dat,GJ752_harps_all-data_v1.csv
GJ754,20:48.0,-45:33:29.629,M4.5,N/A,13.93,12.23,10.741,5.91,GJ754_harps_all-data_v1.dat,GJ754_harps_all-data_v1.csv
GJ755,21:29.7,-34:59:00.356,G2V,5848.5,7.11,6.48,6.312,19.89,GJ755_harps_all-data_v1.dat,GJ755_harps_all-data_v1.csv
GJ762,34:36.5,-62:50:38.626,M3,N/A,13.8,12.17,11.123,25.6,GJ762_harps_all-data_v1.dat,GJ762_harps_all-data_v1.csv
GJ768.1,51:01.6,+10:24:56.595,F8V,N/A,5.66,nan,4.943,19.53,GJ768.1_harps_all-data_v1.dat,GJ768.1_harps_all-data_v1.csv
GJ770,54:17.7,-23:56:27.862,K3VaCN1,N/A,7.263,6.213,5.889,14.11,GJ770_harps_all-data_v1.dat,GJ770_harps_all-data_v1.csv
GJ771,55:18.8,+06:24:24.342,G8IV,N/A,4.56,3.71,3.366,13.38,GJ771_harps_all-data_v1.dat,GJ771_harps_all-data_v1.csv
GJ776,05:32.8,-67:19:15.228,G2V,N/A,6.71,6.07,5.899,17.91,GJ776_harps_all-data_v1.dat,GJ776_harps_all-data_v1.csv
GJ780,08:43.6,-66:10:55.443,G8IV,N/A,4.32,3.56,3.266,6.1,GJ780_harps_all-data_v1.dat,GJ780_harps_all-data_v1.csv
GJ781.2,09:36.5,-14:17:12.886,K3/4V,4607.4,11,9.8,9.349,31.41,GJ781.2_harps_all-data_v1.dat,GJ781.2_harps_all-data_v1.csv
GJ783,11:11.6,-36:05:50.6,N/A,N/A,nan,nan,nan,nan,GJ783_harps_all-data_v1.dat,GJ783_harps_all-data_v1.csv
GJ784.1,13:51.8,+13:23:19.714,K6V,N/A,nan,nan,10.537,30.65,GJ784.1_harps_all-data_v1.dat,GJ784.1_harps_all-data_v1.csv
GJ784,13:53.4,-45:09:50.473,M0V,N/A,9.419,7.966,7.235,6.16,GJ784_harps_all-data_v1.dat,GJ784_harps_all-data_v1.csv
GJ785,15:17.4,-27:01:58.713,K2+V,N/A,6.63,5.723,5.453,8.8,GJ785_harps_all-data_v1.dat,GJ785_harps_all-data_v1.csv
GJ787,19:36.9,-46:25:41.214,K5.5V,N/A,9.889,8.708,8.274,18.47,GJ787_harps_all-data_v1.dat,GJ787_harps_all-data_v1.csv
GJ788.1,22:41.9,-58:17:08.394,M1V,N/A,12.037,10.583,9.899,20.08,GJ788.1_harps_all-data_v1.dat,GJ788.1_harps_all-data_v1.csv
GJ792.1,32:23.7,-09:51:12.186,G2.5IV,N/A,6.34,5.65,5.467,24.76,GJ792.1_harps_all-data_v1.dat,GJ792.1_harps_all-data_v1.csv
GJ796,40:11.8,-23:46:25.924,G7.5IV-V,N/A,7.09,6.37,6.164,14.68,GJ796_harps_all-data_v1.dat,GJ796_harps_all-data_v1.csv
GJ797,40:45.1,+19:56:07.928,G5V,N/A,7.06,6.44,6.268,20.9,GJ797_harps_all-data_v1.dat,GJ797_harps_all-data_v1.csv
GJ798,42:18.8,-52:41:57.354,K7V,N/A,10.15,8.82,8.237,12.33,GJ798_harps_all-data_v1.dat,GJ798_harps_all-data_v1.csv
GJ79,52:49.2,-22:26:05.489,M0V,N/A,10.322,8.883,8.186,11.06,GJ79_harps_all-data_v1.dat,GJ79_harps_all-data_v1.csv
GJ7,09:04.4,-27:07:19.679,M0V,N/A,13.184,11.67,10.919,23.74,GJ7_harps_all-data_v1.dat,GJ7_harps_all-data_v1.csv
GJ800,42:57.2,-18:55:06.089,M1.5,N/A,12.132,10.735,9.901,19.05,GJ800_harps_all-data_v1.dat,GJ800_harps_all-data_v1.csv
GJ801,44:00.7,-21:21:20.849,K7V,N/A,11.1,9.91,9.365,26,GJ801_harps_all-data_v1.dat,GJ801_harps_all-data_v1.csv
GJ803,45:09.5,-31:20:27.241,M1VeBa1,N/A,10.05,8.627,7.84,9.72,GJ803_harps_all-data_v1.dat,GJ803_harps_all-data_v1.csv
GJ805,46:05.7,-25:16:15.231,F5V,6572.2,4.538,4.122,3.97,14.24,GJ805_harps_all-data_v1.dat,GJ805_harps_all-data_v1.csv
GJ808,51:41.6,-79:18:39.983,M2.5V,N/A,13.2,11.87,10.904,17.01,GJ808_harps_all-data_v1.dat,GJ808_harps_all-data_v1.csv
GJ811,56:47.3,-26:17:46.969,F6V,6242.8,6.2,5.7,5.557,21.29,GJ811_harps_all-data_v1.dat,GJ811_harps_all-data_v1.csv
GJ812.1,57:40.1,-44:07:45.739,G2VFe-1.0,N/A,7.11,6.52,6.349,21.59,GJ812.1_harps_all-data_v1.dat,GJ812.1_harps_all-data_v1.csv
GJ812,56:48.5,-04:50:49.149,M3Vnne,N/A,13.444,11.916,10.651,16.06,GJ812_harps_all-data_v1.dat,GJ812_harps_all-data_v1.csv
GJ817,04:53.4,-16:57:31.948,M1.5V,N/A,12.946,11.467,10.62,18.28,GJ817_harps_all-data_v1.dat,GJ817_harps_all-data_v1.csv
GJ818,05:19.7,+07:04:09.473,K6V,N/A,9.518,8.272,7.81,15.05,GJ818_harps_all-data_v1.dat,GJ818_harps_all-data_v1.csv
GJ821,09:17.4,-13:18:09.019,M1V,N/A,12.362,10.869,10.016,11.81,GJ821_harps_all-data_v1.dat,GJ821_harps_all-data_v1.csv
GJ825.2,18:27.3,-43:20:04.746,G5V,5836.8,7.39,6.75,6.582,23.83,GJ825.2_harps_all-data_v1.dat,GJ825.2_harps_all-data_v1.csv
GJ825,17:15.3,-38:52:02.510,M1V,N/A,8.09,6.68,5.975,3.97,GJ825_harps_all-data_v1.dat,GJ825_harps_all-data_v1.csv
GJ826.1,20:13.8,-19:51:08.226,K6.5Vk,N/A,10.452,9.086,8.495,15.79,GJ826.1_harps_all-data_v1.dat,GJ826.1_harps_all-data_v1.csv
GJ827.1,26:58.5,-56:07:30.948,K2.5V,N/A,9.595,8.678,8.363,23.06,GJ827.1_harps_all-data_v1.dat,GJ827.1_harps_all-data_v1.csv
GJ827,26:26.6,-65:21:58.314,F9VFe-1.4CH-0.7,N/A,4.7,4.22,4,9.27,GJ827_harps_all-data_v1.dat,GJ827_harps_all-data_v1.csv
GJ83.1,00:13.0,+13:03:07.021,M4.5V,N/A,14.1,12.298,10.671,4.47,GJ83.1_harps_all-data_v1.dat,GJ83.1_harps_all-data_v1.csv
GJ836.7,44:31.3,+14:46:18.982,G0V+,5955,nan,nan,5.811,18.13,GJ836.7_harps_all-data_v1.dat,GJ836.7_harps_all-data_v1.csv
GJ838,48:15.8,-47:18:13.020,G2V,N/A,6.18,5.58,5.401,15.56,GJ838_harps_all-data_v1.dat,GJ838_harps_all-data_v1.csv
GJ83,58:46.2,-61:34:11.494,F0IV,N/A,3.13,2.84,2.681,19.4,GJ83_harps_all-data_v1.dat,GJ83_harps_all-data_v1.csv
GJ84.1,05:23.7,-28:04:11.040,M1+V,N/A,12.262,10.875,10.163,26.11,GJ84.1_harps_all-data_v1.dat,GJ84.1_harps_all-data_v1.csv
GJ841,57:41.2,-51:00:22.240,M2Ve,N/A,12.008,10.487,9.396,14.86,GJ841_harps_all-data_v1.dat,GJ841_harps_all-data_v1.csv
GJ842,59:34.7,-59:45:10.135,M2V,N/A,11.189,9.715,8.913,11.56,GJ842_harps_all-data_v1.dat,GJ842_harps_all-data_v1.csv
GJ845,03:21.7,-56:47:09.537,K5V,N/A,5.75,4.69,4.273,3.64,GJ845_harps_all-data_v1.dat,GJ845_harps_all-data_v1.csv
GJ846,02:10.3,+01:24:00.830,M0.5V,N/A,10.616,9.146,8.402,10.55,GJ846_harps_all-data_v1.dat,GJ846_harps_all-data_v1.csv
GJ848,07:00.7,+25:20:42.376,F5V,N/A,4.2,3.77,3.551,11.8,GJ848_harps_all-data_v1.dat,GJ848_harps_all-data_v1.csv
GJ849.1,10:08.8,-32:32:54.275,F6V,N/A,5.4,4.92,4.764,18.35,GJ849.1_harps_all-data_v1.dat,GJ849.1_harps_all-data_v1.csv
GJ849,09:40.3,-04:38:26.651,M3.5V,N/A,11.868,10.366,9.224,8.8,GJ849_harps_all-data_v1.dat,GJ849_harps_all-data_v1.csv
GJ851.3,14:38.2,-15:49:06.715,G9.5IV-V,N/A,7.44,6.54,6.284,40.24,GJ851.3_harps_all-data_v1.dat,GJ851.3_harps_all-data_v1.csv
GJ853,18:15.6,-53:37:37.466,G0V,N/A,5.97,5.33,5.211,14.02,GJ853_harps_all-data_v1.dat,GJ853_harps_all-data_v1.csv
GJ855.1,24:36.9,-72:15:19.494,G9VFe-3.1CH-1.5,N/A,5.94,5.29,5.036,28.46,GJ855.1_harps_all-data_v1.dat,GJ855.1_harps_all-data_v1.csv
GJ855,23:33.3,-57:13:14.261,M1Vk:,N/A,12.185,10.708,9.895,18.98,GJ855_harps_all-data_v1.dat,GJ855_harps_all-data_v1.csv
GJ85,07:23.3,-66:34:11.497,M2,N/A,13.5,11.55,10.572,12.31,GJ85_harps_all-data_v1.dat,GJ85_harps_all-data_v1.csv
GJ862,29:15.2,-30:01:06.262,K4V,N/A,8.742,7.645,7.289,15.69,GJ862_harps_all-data_v1.dat,GJ862_harps_all-data_v1.csv
GJ864,36:09.7,-00:50:29.765,M1V,N/A,11.431,9.93,9.281,16.56,GJ864_harps_all-data_v1.dat,GJ864_harps_all-data_v1.csv
GJ86,10:25.9,-50:49:25.467,K1.5V,N/A,6.94,6.17,5.874,10.79,GJ86_harps_all-data_v1.dat,GJ86_harps_all-data_v1.csv
GJ875,50:19.4,-07:05:24.380,M0.5V,4055.7,11.316,9.847,9.13,14.5,GJ875_harps_all-data_v1.dat,GJ875_harps_all-data_v1.csv
GJ876,53:16.7,-14:15:49.303,M3.5V,N/A,11.749,10.192,8.875,4.68,GJ876_harps_all-data_v1.dat,GJ876_harps_all-data_v1.csv
GJ877,55:45.5,-75:27:31.205,M3V,N/A,11.873,10.377,9.283,8.59,GJ877_harps_all-data_v1.dat,GJ877_harps_all-data_v1.csv
GJ879,56:24.1,-31:33:56.035,K4Ve,N/A,7.58,6.48,6.069,7.61,GJ879_harps_all-data_v1.dat,GJ879_harps_all-data_v1.csv
GJ87,12:21.0,+03:34:32.230,M1V,N/A,11.477,10.042,9.205,10.51,GJ87_harps_all-data_v1.dat,GJ87_harps_all-data_v1.csv
GJ880,56:34.8,+16:33:12.353,M1.5Ve,N/A,10.143,8.638,7.793,6.87,GJ880_harps_all-data_v1.dat,GJ880_harps_all-data_v1.csv
GJ881,57:39.0,-29:37:20.053,A4V,N/A,1.25,1.16,nan,nan,GJ881_harps_all-data_v1.dat,GJ881_harps_all-data_v1.csv
GJ882,57:28.0,+20:46:07.782,G2IV,5830,6.16,5.46,5.256,15.47,GJ882_harps_all-data_v1.dat,GJ882_harps_all-data_v1.csv
GJ887,05:52.0,-35:51:11.058,M2V,N/A,8.82,7.34,6.522,3.29,GJ887_harps_all-data_v1.dat,GJ887_harps_all-data_v1.csv
GJ891,10:15.7,-25:55:52.704,M2V,N/A,12.808,11.273,10.318,14.9,GJ891_harps_all-data_v1.dat,GJ891_harps_all-data_v1.csv
GJ894,17:38.0,-42:11:29.739,K6+Vk:,N/A,11.57,10.4,9.833,33.1,GJ894_harps_all-data_v1.dat,GJ894_harps_all-data_v1.csv
GJ9003,07:32.5,-23:49:07.398,G9.5V,N/A,9.5,8.7,8.473,32.72,GJ9003_harps_all-data_v1.dat,GJ9003_harps_all-data_v1.csv
GJ9007,17:16.5,-43:51:09.839,G2V,N/A,8.63,7.98,7.789,36.2,GJ9007_harps_all-data_v1.dat,GJ9007_harps_all-data_v1.csv
GJ9008,17:58.9,-13:27:20.308,G0V,N/A,7.09,6.5,6.352,26.94,GJ9008_harps_all-data_v1.dat,GJ9008_harps_all-data_v1.csv
GJ900,35:00.3,+01:36:19.433,K7V,N/A,10.893,9.546,9.026,20.82,GJ900_harps_all-data_v1.dat,GJ900_harps_all-data_v1.csv
GJ9010,21:19.6,-45:44:47.108,M1V,N/A,11.874,10.394,9.629,17.59,GJ9010_harps_all-data_v1.dat,GJ9010_harps_all-data_v1.csv
GJ9012,22:51.8,-12:12:33.972,G2.5V,N/A,7.05,6.39,6.225,21.31,GJ9012_harps_all-data_v1.dat,GJ9012_harps_all-data_v1.csv
GJ9015,32:43.9,-63:01:53.397,A0V,9278.8,5.13,5.09,5.035,45.9,GJ9015_harps_all-data_v1.dat,GJ9015_harps_all-data_v1.csv
GJ9018,39:58.8,-44:15:11.582,M4V,N/A,12.888,11.401,10.579,23.62,GJ9018_harps_all-data_v1.dat,GJ9018_harps_all-data_v1.csv
GJ9024,44:26.7,-26:30:56.458,G7VFe-1CH-0.5,N/A,8.46,7.79,7.611,34.23,GJ9024_harps_all-data_v1.dat,GJ9024_harps_all-data_v1.csv
GJ9027,45:04.9,+01:47:07.876,K3V,N/A,9.021,8.001,7.72,22.43,GJ9027_harps_all-data_v1.dat,GJ9027_harps_all-data_v1.csv
GJ9029,47:30.8,-36:56:24.703,F7/8V,N/A,8.39,7.85,7.701,50.72,GJ9029_harps_all-data_v1.dat,GJ9029_harps_all-data_v1.csv
GJ902,39:37.4,-72:43:19.757,K3+V,N/A,8.088,7.087,6.74,11.45,GJ902_harps_all-data_v1.dat,GJ902_harps_all-data_v1.csv
GJ9031,48:58.7,+16:56:26.319,F8V,6284,5.58,nan,4.881,23.23,GJ9031_harps_all-data_v1.dat,GJ9031_harps_all-data_v1.csv
GJ904,39:57.0,+05:37:34.647,F7V,N/A,4.62,4.12,3.924,13.43,GJ904_harps_all-data_v1.dat,GJ904_harps_all-data_v1.csv
GJ9055,23:02.6,-12:57:57.845,K0VCN+2,N/A,8.74,7.84,7.616,30.11,GJ9055_harps_all-data_v1.dat,GJ9055_harps_all-data_v1.csv
GJ9056,24:53.9,+18:29:59.754,K2,N/A,9.38,nan,8.247,31.49,GJ9056_harps_all-data_v1.dat,GJ9056_harps_all-data_v1.csv
GJ9067,02:03.2,+03:56:25.124,K5V,N/A,nan,nan,10.076,35.93,GJ9067_harps_all-data_v1.dat,GJ9067_harps_all-data_v1.csv
GJ9075,12:47.5,-02:23:37.066,F8V,N/A,6.23,5.68,5.511,38.03,GJ9075_harps_all-data_v1.dat,GJ9075_harps_all-data_v1.csv
GJ9079,21:24.0,-30:56:01.101,K2+V,N/A,9.74,8.82,8.55,31.33,GJ9079_harps_all-data_v1.dat,GJ9079_harps_all-data_v1.csv
GJ9080,21:44.9,-68:39:33.889,A2V,N/A,4.12,4.09,4,42.16,GJ9080_harps_all-data_v1.dat,GJ9080_harps_all-data_v1.csv
GJ908,49:12.5,+02:24:04.403,M1VFe-1,N/A,10.427,8.993,8.15,5.9,GJ908_harps_all-data_v1.dat,GJ908_harps_all-data_v1.csv
GJ9103A,50:09.7,-53:08:20.288,M1.5,N/A,12.238,10.717,9.793,13.21,GJ9103A_harps_all-data_v1.dat,GJ9103A_harps_all-data_v1.csv
GJ9107,01:37.6,-28:05:29.376,G9:V,N/A,6.68,5.85,5.622,32,GJ9107_harps_all-data_v1.dat,GJ9107_harps_all-data_v1.csv
GJ9109,03:39.0,-05:39:58.670,G5V,N/A,8.76,8.09,7.895,37.63,GJ9109_harps_all-data_v1.dat,GJ9109_harps_all-data_v1.csv
GJ9116,26:11.1,-30:37:04.118,G8V,N/A,8.6,7.88,7.637,nan,GJ9116_harps_all-data_v1.dat,GJ9116_harps_all-data_v1.csv
GJ9118,29:22.7,-62:56:15.099,F3IV/V,N/A,5.1,4.71,4.563,21.75,GJ9118_harps_all-data_v1.dat,GJ9118_harps_all-data_v1.csv
GJ9121,40:22.1,-03:13:01.124,G0VmF2,N/A,7.222,6.667,6.521,26.18,GJ9121_harps_all-data_v1.dat,GJ9121_harps_all-data_v1.csv
GJ912,55:39.8,-06:08:33.354,M2.5Vk,N/A,12.644,11.158,10.137,17.81,GJ912_harps_all-data_v1.dat,GJ912_harps_all-data_v1.csv
GJ9133,47:58.1,+02:47:16.150,M0V,N/A,12.58,11.044,10.227,17.56,GJ9133_harps_all-data_v1.dat,GJ9133_harps_all-data_v1.csv
GJ9144,06:34.8,-20:51:11.225,K7V,N/A,10.904,9.675,9.201,25.88,GJ9144_harps_all-data_v1.dat,GJ9144_harps_all-data_v1.csv
GJ9156,25:09.2,-64:04:48.254,G5V,N/A,8.56,7.91,7.727,43.7,GJ9156_harps_all-data_v1.dat,GJ9156_harps_all-data_v1.csv
GJ9163,40:29.3,-09:11:45.979,M0V,4993,11.735,10.257,nan,19.69,GJ9163_harps_all-data_v1.dat,GJ9163_harps_all-data_v1.csv
GJ9165,42:03.5,-37:08:39.590,F3IV,6740,5.42,5.05,4.896,28.78,GJ9165_harps_all-data_v1.dat,GJ9165_harps_all-data_v1.csv
GJ9177,10:43.1,-44:34:18.417,G8IV/V,5510,9.48,8.71,8.532,57.55,GJ9177_harps_all-data_v1.dat,GJ9177_harps_all-data_v1.csv
GJ9178,11:54.2,-09:06:47.361,G9V,N/A,8.85,8.04,7.819,28.67,GJ9178_harps_all-data_v1.dat,GJ9178_harps_all-data_v1.csv
GJ9190,46:57.3,-14:49:19.019,A2IV-V(n),7038.5,3.637,3.525,3.454,21.87,GJ9190_harps_all-data_v1.dat,GJ9190_harps_all-data_v1.csv
GJ9191,44:31.9,-70:08:36.856,K0V,N/A,8.841,8.075,7.852,26.43,GJ9191_harps_all-data_v1.dat,GJ9191_harps_all-data_v1.csv
GJ9201,04:20.4,-55:18:46.838,M2.5V,N/A,13.6,12.14,11.236,29.87,GJ9201_harps_all-data_v1.dat,GJ9201_harps_all-data_v1.csv
GJ9210,18:22.1,-13:52:07.782,M0IV,N/A,11.12,9.94,9.433,28.79,GJ9210_harps_all-data_v1.dat,GJ9210_harps_all-data_v1.csv
GJ9219,53:33.9,-28:32:23.255,G5V,N/A,6.75,6.04,5.853,25.83,GJ9219_harps_all-data_v1.dat,GJ9219_harps_all-data_v1.csv
GJ9222,53:16.4,-74:43:30.672,F8V+A/F,6300,8.12,7.65,7.514,55.31,GJ9222_harps_all-data_v1.dat,GJ9222_harps_all-data_v1.csv
GJ9223,03:57.3,-43:36:28.921,G1.5V,N/A,5.94,5.28,5.377,17.05,GJ9223_harps_all-data_v1.dat,GJ9223_harps_all-data_v1.csv
GJ9241,47:03.1,-13:56:19.158,M0,N/A,13.17,11.482,10.737,29.05,GJ9241_harps_all-data_v1.dat,GJ9241_harps_all-data_v1.csv
GJ9252,07:00.5,-29:24:10.576,G0V,5095.6,7.39,6.79,6.63,25.73,GJ9252_harps_all-data_v1.dat,GJ9252_harps_all-data_v1.csv
GJ9254,09:00.6,-61:18:08.583,F6VFe-0.8CH-0.4,N/A,5.19,4.76,4.55,18.07,GJ9254_harps_all-data_v1.dat,GJ9254_harps_all-data_v1.csv
GJ9255,10:39.8,-13:47:57.138,F6.5V,6300,6.03,5.54,5.377,22.64,GJ9255_harps_all-data_v1.dat,GJ9255_harps_all-data_v1.csv
GJ9263,25:49.5,-29:55:50.130,G2.5V,N/A,8.49,7.82,7.632,39.27,GJ9263_harps_all-data_v1.dat,GJ9263_harps_all-data_v1.csv
GJ9268,31:56.3,-50:11:20.688,K6Vk:,N/A,12.02,10.81,10.282,40.66,GJ9268_harps_all-data_v1.dat,GJ9268_harps_all-data_v1.csv
GJ9269,33:45.7,-23:21:19.967,G8IV-V,N/A,7.95,7.21,7.028,32.44,GJ9269_harps_all-data_v1.dat,GJ9269_harps_all-data_v1.csv
GJ9273,37:50.3,-06:48:24.777,G8/K0(IV),N/A,7.394,6.725,6.576,24.34,GJ9273_harps_all-data_v1.dat,GJ9273_harps_all-data_v1.csv
GJ9283,59:24.2,-59:05:01.356,F4V,N/A,5.58,5.16,5.037,26.19,GJ9283_harps_all-data_v1.dat,GJ9283_harps_all-data_v1.csv
GJ9296,20:44.3,-05:45:14.294,K4V,N/A,10.259,9.082,8.661,24.18,GJ9296_harps_all-data_v1.dat,GJ9296_harps_all-data_v1.csv
GJ9299,29:35.1,-05:22:21.738,K7V,N/A,11.072,9.742,9.2,24.18,GJ9299_harps_all-data_v1.dat,GJ9299_harps_all-data_v1.csv
GJ9316,08:22.3,+11:58:01.951,B8IVn,N/A,1.24,1.4,nan,23.76,GJ9316_harps_all-data_v1.dat,GJ9316_harps_all-data_v1.csv
GJ9320,13:24.7,-33:01:54.193,G0V,N/A,6.97,6.38,6.216,22.44,GJ9320_harps_all-data_v1.dat,GJ9320_harps_all-data_v1.csv
GJ9322,14:08.3,+03:09:04.675,G3/5V,N/A,8.33,7.73,7.571,34.72,GJ9322_harps_all-data_v1.dat,GJ9322_harps_all-data_v1.csv
GJ9324,19:44.2,+19:28:15.294,F6IV-V,N/A,5.24,nan,4.627,20.85,GJ9324_harps_all-data_v1.dat,GJ9324_harps_all-data_v1.csv
GJ9328,24:14.9,-10:24:21.131,K5.5V,N/A,11.23,10.036,9.498,29.1,GJ9328_harps_all-data_v1.dat,GJ9328_harps_all-data_v1.csv
GJ9332,31:21.8,-53:42:55.737,F9VFe-0.8CH-0.7,N/A,5.39,4.89,4.704,21.92,GJ9332_harps_all-data_v1.dat,GJ9332_harps_all-data_v1.csv
GJ9338,53:29.5,-20:08:19.422,F6V,6395.3,5.71,5.24,5.071,30.24,GJ9338_harps_all-data_v1.dat,GJ9338_harps_all-data_v1.csv
GJ9356,17:13.7,-01:58:54.675,K4/5V,N/A,10.95,9.878,9.337,33.23,GJ9356_harps_all-data_v1.dat,GJ9356_harps_all-data_v1.csv
GJ9367,34:21.9,+03:03:36.593,F5.5V,6461,6.23,nan,5.63,27.06,GJ9367_harps_all-data_v1.dat,GJ9367_harps_all-data_v1.csv
GJ9384,01:07.0,-01:43:53.586,K4,N/A,12.05,10.95,10.534,50.56,GJ9384_harps_all-data_v1.dat,GJ9384_harps_all-data_v1.csv
GJ9396,12:28.8,-03:05:04.108,G5V,N/A,8.15,7.5,7.248,34.5,GJ9396_harps_all-data_v1.dat,GJ9396_harps_all-data_v1.csv
GJ9411,32:04.2,-16:11:45.616,F2V,N/A,4.69,4.31,4.192,17.96,GJ9411_harps_all-data_v1.dat,GJ9411_harps_all-data_v1.csv
GJ9415,40:46.3,-43:33:58.996,M3V,N/A,13.969,12.239,10.979,8.05,GJ9415_harps_all-data_v1.dat,GJ9415_harps_all-data_v1.csv
GJ9423,54:58.5,-44:09:06.912,F9Vp,N/A,6.53,5.89,5.722,38.48,GJ9423_harps_all-data_v1.dat,GJ9423_harps_all-data_v1.csv
GJ9429,08:51.0,+05:12:26.064,G3IV+D,N/A,7.47,nan,6.612,26.38,GJ9429_harps_all-data_v1.dat,GJ9429_harps_all-data_v1.csv
GJ9441,20:35.8,-36:42:44.244,kA1.5hA3mA3Va,N/A,2.76,2.73,2.686,17.84,GJ9441_harps_all-data_v1.dat,GJ9441_harps_all-data_v1.csv
GJ9467,08:27.2,-74:51:01.032,F9.5V,N/A,6.6,6.02,5.861,29.32,GJ9467_harps_all-data_v1.dat,GJ9467_harps_all-data_v1.csv
GJ9472,13:31.2,-06:57:32.338,M0V,4059,11.575,10.139,9.474,18.29,GJ9472_harps_all-data_v1.dat,GJ9472_harps_all-data_v1.csv
GJ9473,16:00.9,-06:00:01.963,F7III,N/A,4.6,4.08,3.876,21.98,GJ9473_harps_all-data_v1.dat,GJ9473_harps_all-data_v1.csv
GJ9476,19:00.9,-25:48:55.531,F9VFe-1.5CH-0.7,N/A,6.37,5.87,5.718,18,GJ9476_harps_all-data_v1.dat,GJ9476_harps_all-data_v1.csv
GJ9479,21:23.2,-40:23:38.217,K4Vk:,N/A,10.13,9.03,8.656,28.22,GJ9479_harps_all-data_v1.dat,GJ9479_harps_all-data_v1.csv
GJ9481,28:12.1,-02:13:40.648,G2IV,5830,5.522,4.84,4.596,37.2,GJ9481_harps_all-data_v1.dat,GJ9481_harps_all-data_v1.csv
GJ9482,29:18.6,-46:27:49.735,K7Vk,4097.6,11.798,10.376,9.698,24.07,GJ9482_harps_all-data_v1.dat,GJ9482_harps_all-data_v1.csv
